Sender: LSF System <lsfadmin@e2089>
Subject: Job 8116465: <matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases> in cluster <euler> Done

Job <matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases> was submitted from host <euler04> by user <dojan> in cluster <euler>.
Job was executed on host(s) <10*e2089>, in queue <normal.4h>, as user <dojan> in cluster <euler>.
</cluster/home/dojan> was used as the home directory.
</cluster/home/dojan/cil/cil_2015_nstd_git/project/src> was used as the working directory.
Started at Wed Jun 17 15:05:14 2015
Results reported on Wed Jun 17 15:18:20 2015

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :               5287.83 sec.
    Max Memory :             7442 MB
    Average Memory :         4032.48 MB
    Total Requested Memory : 10240.00 MB
    Delta Memory :           2798.00 MB
    (Delta: the difference between Total Requested Memory and Max Memory.)
    Max Swap :               2 MB
    Max Processes :          27
    Max Threads :            339

The output (if any) follows:


                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013b (8.2.0.701) 64-bit (glnxa64)
                              August 13, 2013


To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.

Starting parallel pool (parpool) using the 'local' profile ... connected to 10 workers.
Grid Search Compute Biases
Lambda_1,Lambda_2,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
0,0,0.994067,0.002658,0.768202,0.150790
0,1,0.993984,0.002653,0.552495,0.054003
0,2,0.993913,0.002650,0.598929,0.106520
0,3,0.993854,0.002646,0.595242,0.081327
0,4,0.993805,0.002643,0.561486,0.055136
0,5,0.993764,0.002640,0.558875,0.057306
0,6,0.993731,0.002637,0.561863,0.063387
0,7,0.993705,0.002634,0.561002,0.043865
0,8,0.993686,0.002632,0.555688,0.050777
0,9,0.993673,0.002630,0.559670,0.053042
0,10,0.993665,0.002628,0.599260,0.100668
0,11,0.993663,0.002626,0.549234,0.046961
0,12,0.993665,0.002624,0.549907,0.047763
0,13,0.993671,0.002622,0.547388,0.045824
0,14,0.993682,0.002620,0.549880,0.048485
0,15,0.993696,0.002619,0.548737,0.047018
0,16,0.993714,0.002617,0.547875,0.047760
0,17,0.993735,0.002616,0.549730,0.048115
0,18,0.993760,0.002614,0.547113,0.046990
0,19,0.993787,0.002613,0.548696,0.047728
0,20,0.993816,0.002612,0.550838,0.048515
1,0,0.994072,0.002657,0.550971,0.052236
1,1,0.993988,0.002653,0.653183,0.188460
1,2,0.993918,0.002649,0.564931,0.057204
1,3,0.993858,0.002645,0.553525,0.048553
1,4,0.993809,0.002642,0.551190,0.047586
1,5,0.993768,0.002639,0.549631,0.044563
1,6,0.993735,0.002636,0.547172,0.047033
1,7,0.993709,0.002634,0.548987,0.045794
1,8,0.993690,0.002631,0.557609,0.052902
1,9,0.993677,0.002629,0.560026,0.052829
1,10,0.993669,0.002627,0.552515,0.050581
1,11,0.993667,0.002625,0.549887,0.048898
1,12,0.993669,0.002623,0.549338,0.046837
1,13,0.993676,0.002621,0.550385,0.047274
1,14,0.993686,0.002620,0.552006,0.048443
1,15,0.993701,0.002618,0.560366,0.054207
1,16,0.993719,0.002617,0.558620,0.048046
1,17,0.993740,0.002615,0.573510,0.091172
1,18,0.993764,0.002614,0.553693,0.050356
1,19,0.993791,0.002613,0.552020,0.048213
1,20,0.993820,0.002611,0.551174,0.048785
2,0,0.994077,0.002657,0.557195,0.050182
2,1,0.993994,0.002652,0.561337,0.055738
2,2,0.993923,0.002648,0.555558,0.050085
2,3,0.993864,0.002645,0.557150,0.051899
2,4,0.993814,0.002641,0.564244,0.055516
2,5,0.993773,0.002638,0.584033,0.114607
2,6,0.993741,0.002636,0.566406,0.088944
2,7,0.993715,0.002633,0.563254,0.084640
2,8,0.993696,0.002631,0.546646,0.044046
2,9,0.993682,0.002629,0.552068,0.047028
2,10,0.993675,0.002626,0.549367,0.048273
2,11,0.993672,0.002625,0.548090,0.045306
2,12,0.993675,0.002623,0.552328,0.050017
2,13,0.993681,0.002621,0.553364,0.036987
2,14,0.993692,0.002619,0.559007,0.053094
2,15,0.993706,0.002618,0.554575,0.050262
2,16,0.993724,0.002616,0.551404,0.047711
2,17,0.993745,0.002615,0.549932,0.047728
2,18,0.993769,0.002613,0.555901,0.050810
2,19,0.993796,0.002612,0.557221,0.052378
2,20,0.993826,0.002611,0.558787,0.050527
3,0,0.994084,0.002656,0.546052,0.043323
3,1,0.994000,0.002652,0.549075,0.043910
3,2,0.993929,0.002648,0.548652,0.045994
3,3,0.993870,0.002644,0.556610,0.048944
3,4,0.993821,0.002641,0.573680,0.090575
3,5,0.993780,0.002638,0.555830,0.049498
3,6,0.993747,0.002635,0.557847,0.050746
3,7,0.993721,0.002633,0.558973,0.052832
3,8,0.993702,0.002631,0.557717,0.051788
3,9,0.993689,0.002628,0.556587,0.050383
3,10,0.993681,0.002626,0.561228,0.055475
3,11,0.993679,0.002624,0.584555,0.078999
3,12,0.993681,0.002622,0.586990,0.078041
3,13,0.993687,0.002621,0.550088,0.047159
3,14,0.993698,0.002619,0.559792,0.047601
3,15,0.993712,0.002617,0.583215,0.119802
3,16,0.993730,0.002616,0.575230,0.116368
3,17,0.993751,0.002615,0.492537,0.018199
3,18,0.993776,0.002613,0.549021,0.046506
3,19,0.993802,0.002612,0.579445,0.117136
3,20,0.993832,0.002611,0.563546,0.074668
4,0,0.994091,0.002656,0.551539,0.049923
4,1,0.994007,0.002652,0.549472,0.047247
4,2,0.993937,0.002648,0.550827,0.047652
4,3,0.993877,0.002644,0.553568,0.050034
4,4,0.993828,0.002641,0.553972,0.050214
4,5,0.993787,0.002638,0.549168,0.046715
4,6,0.993754,0.002635,0.549024,0.046515
4,7,0.993728,0.002633,0.549683,0.047847
4,8,0.993709,0.002630,0.551933,0.050054
4,9,0.993696,0.002628,0.573684,0.113122
4,10,0.993688,0.002626,0.551137,0.046023
4,11,0.993686,0.002624,0.555247,0.044387
4,12,0.993688,0.002622,0.559289,0.053518
4,13,0.993695,0.002621,0.558226,0.050860
4,14,0.993705,0.002619,0.610196,0.156537
4,15,0.993720,0.002617,0.550565,0.048125
4,16,0.993737,0.002616,0.550531,0.048741
4,17,0.993759,0.002614,0.550526,0.048282
4,18,0.993783,0.002613,0.608784,0.133781
4,19,0.993810,0.002612,0.547549,0.044640
4,20,0.993839,0.002611,0.548822,0.045863
5,0,0.994099,0.002656,0.584831,0.080878
5,1,0.994015,0.002652,0.551711,0.048735
5,2,0.993945,0.002648,0.550319,0.047500
5,3,0.993885,0.002644,0.551067,0.049066
5,4,0.993836,0.002641,0.557813,0.052318
5,5,0.993795,0.002638,0.551807,0.048836
5,6,0.993762,0.002635,0.555904,0.050848
5,7,0.993736,0.002633,0.561762,0.051474
5,8,0.993717,0.002630,0.582382,0.081213
5,9,0.993704,0.002628,0.562601,0.049927
5,10,0.993696,0.002626,0.577408,0.042187
5,11,0.993694,0.002624,0.557230,0.052234
5,12,0.993696,0.002622,0.561792,0.053587
5,13,0.993703,0.002620,0.614281,0.135437
5,14,0.993713,0.002619,0.549043,0.045107
5,15,0.993728,0.002617,0.552164,0.048445
5,16,0.993745,0.002616,0.551756,0.049791
5,17,0.993767,0.002614,0.549236,0.046253
5,18,0.993791,0.002613,0.548214,0.044721
5,19,0.993818,0.002612,0.552802,0.048405
5,20,0.993847,0.002611,0.550785,0.047120
6,0,0.994108,0.002656,0.548741,0.046458
6,1,0.994024,0.002652,0.592492,0.101244
6,2,0.993953,0.002648,0.573703,0.060578
6,3,0.993894,0.002644,0.549997,0.045178
6,4,0.993845,0.002641,0.552689,0.049110
6,5,0.993804,0.002638,0.552434,0.048442
6,6,0.993771,0.002635,0.563031,0.084602
6,7,0.993745,0.002633,0.555387,0.050005
6,8,0.993726,0.002630,0.598595,0.128825
6,9,0.993713,0.002628,0.620985,0.167733
6,10,0.993705,0.002626,0.599937,0.121674
6,11,0.993702,0.002624,0.559446,0.053944
6,12,0.993705,0.002622,0.558542,0.054378
6,13,0.993711,0.002621,0.558592,0.054421
6,14,0.993722,0.002619,0.560244,0.050197
6,15,0.993736,0.002617,0.559133,0.052574
6,16,0.993754,0.002616,0.555308,0.048585
6,17,0.993775,0.002614,0.603276,0.130360
