K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.001000,0.001000,0.750000,0.970871,0.002594,137.034099,7.862117
64,0.001000,0.001000,0.775000,0.967603,0.002478,126.372628,5.808790
64,0.001000,0.001000,0.800000,0.964622,0.002768,144.832005,6.303820
64,0.001000,0.001000,0.825000,0.961386,0.002654,163.529795,5.762245
64,0.001000,0.001000,0.850000,0.958674,0.002564,171.396675,5.804418
64,0.001000,0.001000,0.875000,0.956959,0.002534,149.046419,22.624867
64,0.001000,0.001000,0.900000,0.956949,0.002561,63.672947,4.175914
64,0.001000,0.001000,0.925000,0.956972,0.002525,48.900808,2.442818
64,0.001000,0.001000,0.950000,0.956936,0.002569,42.891308,6.870353
64,0.001000,0.001000,0.975000,0.957164,0.002373,34.997362,1.791807
64,0.001000,0.001000,1.000000,0.956998,0.002518,31.671681,1.610226
64,0.001000,0.002000,0.750000,0.970901,0.002506,111.849091,5.984048
64,0.001000,0.002000,0.775000,0.967751,0.002619,125.163189,6.063307
64,0.001000,0.002000,0.800000,0.964661,0.002641,137.528273,8.094212
64,0.001000,0.002000,0.825000,0.961560,0.002734,152.831683,8.008720
64,0.001000,0.002000,0.850000,0.958642,0.002606,170.857902,9.635915
64,0.001000,0.002000,0.875000,0.956878,0.002531,156.076546,9.957790
64,0.001000,0.002000,0.900000,0.956914,0.002360,61.125933,3.897410
64,0.001000,0.002000,0.925000,0.956778,0.002556,48.003411,3.761927
64,0.001000,0.002000,0.950000,0.956973,0.002523,40.166197,2.871199
64,0.001000,0.002000,0.975000,0.956709,0.002406,35.649459,1.990103
64,0.001000,0.002000,1.000000,0.957009,0.002540,31.932987,1.513163
64,0.001000,0.005000,0.750000,0.971321,0.002737,113.850100,6.096817
64,0.001000,0.005000,0.775000,0.968247,0.002474,125.863423,5.411201
64,0.001000,0.005000,0.800000,0.964878,0.002574,138.553757,6.454419
64,0.001000,0.005000,0.825000,0.961669,0.002674,154.797137,9.140735
64,0.001000,0.005000,0.850000,0.958768,0.002632,173.351041,9.422876
64,0.001000,0.005000,0.875000,0.956343,0.002585,173.265366,9.046771
64,0.001000,0.005000,0.900000,0.956032,0.002509,69.372267,3.380565
64,0.001000,0.005000,0.925000,0.956076,0.002447,51.192920,3.262936
64,0.001000,0.005000,0.950000,0.956102,0.002494,42.439306,2.164088
64,0.001000,0.005000,0.975000,0.956479,0.002542,37.805587,3.441237
64,0.001000,0.005000,1.000000,0.956569,0.002300,36.046536,3.646582
64,0.001000,0.010000,0.750000,0.971678,0.002793,113.198359,6.739965
64,0.001000,0.010000,0.775000,0.968684,0.002739,125.637913,7.320537
64,0.001000,0.010000,0.800000,0.965371,0.002771,139.760080,7.677798
64,0.001000,0.010000,0.825000,0.961950,0.002603,155.248354,8.790010
64,0.001000,0.010000,0.850000,0.958821,0.002517,173.727346,8.585445
64,0.001000,0.010000,0.875000,0.955988,0.002519,173.451179,8.369738
64,0.001000,0.010000,0.900000,0.955177,0.002485,91.658756,6.011344
64,0.001000,0.010000,0.925000,0.955187,0.002475,56.796987,3.309443
64,0.001000,0.010000,0.950000,0.955149,0.002551,46.453757,2.190277
64,0.001000,0.010000,0.975000,0.955256,0.002441,41.161372,2.422663
64,0.001000,0.010000,1.000000,0.955336,0.002425,36.410579,2.368103
64,0.001000,0.020000,0.750000,0.973226,0.002725,111.602513,6.182456
64,0.001000,0.020000,0.775000,0.969868,0.002731,125.682142,5.685727
64,0.001000,0.020000,0.800000,0.966622,0.002770,140.393536,7.158576
