K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.001000,0.750000,5,0.993653,0.002493
64,0.001000,0.001000,0.750000,7,0.995187,0.002558
64,0.001000,0.001000,0.750000,8,0.993169,0.002276
64,0.001000,0.001000,0.750000,9,0.991930,0.000000
64,0.001000,0.001000,0.775000,5,0.993654,0.002491
64,0.001000,0.001000,0.775000,8,0.997270,0.000000
64,0.001000,0.001000,0.775000,9,0.993861,0.002443
64,0.001000,0.001000,0.775000,10,0.992755,0.002047
64,0.001000,0.001000,0.775000,11,0.990465,0.000000
64,0.001000,0.001000,0.800000,5,0.993653,0.002492
64,0.001000,0.001000,0.800000,10,0.993644,0.002492
64,0.001000,0.001000,0.800000,11,0.997270,0.000000
64,0.001000,0.001000,0.800000,12,0.993709,0.002012
64,0.001000,0.001000,0.800000,13,0.992877,0.002725
64,0.001000,0.001000,0.800000,14,0.992811,0.000000
64,0.001000,0.001000,0.825000,5,0.993653,0.002492
64,0.001000,0.001000,0.825000,10,0.993641,0.002491
64,0.001000,0.001000,0.825000,14,0.991613,0.000000
64,0.001000,0.001000,0.825000,15,0.993858,0.002528
64,0.001000,0.001000,0.825000,16,0.992810,0.000000
64,0.001000,0.001000,0.825000,17,0.993492,0.002383
64,0.001000,0.001000,0.825000,18,0.996391,0.000000
64,0.001000,0.001000,0.850000,5,0.993650,0.002490
64,0.001000,0.001000,0.850000,10,0.993631,0.002490
64,0.001000,0.001000,0.850000,15,0.993615,0.002489
64,0.001000,0.001000,0.850000,20,0.993606,0.002489
64,0.001000,0.001000,0.850000,21,0.997483,0.000000
64,0.001000,0.001000,0.850000,22,0.992341,0.000444
64,0.001000,0.001000,0.850000,23,0.990927,0.000481
64,0.001000,0.001000,0.850000,24,0.995271,0.001580
64,0.001000,0.001000,0.875000,5,0.993649,0.002491
64,0.001000,0.001000,0.875000,10,0.993621,0.002491
64,0.001000,0.001000,0.875000,15,0.993590,0.002492
64,0.001000,0.001000,0.875000,20,0.993564,0.002492
64,0.001000,0.001000,0.875000,25,0.993548,0.002492
64,0.001000,0.001000,0.875000,30,0.993539,0.002492
64,0.001000,0.001000,0.875000,32,0.997176,0.000000
64,0.001000,0.001000,0.875000,33,0.992591,0.002187
64,0.001000,0.001000,0.875000,34,0.993974,0.002873
64,0.001000,0.001000,0.875000,35,0.992945,0.000258
64,0.001000,0.001000,0.900000,5,0.993648,0.002491
64,0.001000,0.001000,0.900000,10,0.993606,0.002493
64,0.001000,0.001000,0.900000,15,0.993534,0.002495
64,0.001000,0.001000,0.900000,20,0.993454,0.002498
64,0.001000,0.001000,0.900000,25,0.993383,0.002501
64,0.001000,0.001000,0.900000,30,0.993331,0.002504
64,0.001000,0.001000,0.900000,35,0.993295,0.002505
64,0.001000,0.001000,0.900000,40,0.993273,0.002506
64,0.001000,0.001000,0.900000,45,0.993259,0.002507
64,0.001000,0.001000,0.900000,50,0.993250,0.002507
64,0.001000,0.001000,0.925000,5,0.993645,0.002490
64,0.001000,0.001000,0.925000,10,0.993574,0.002489
64,0.001000,0.001000,0.925000,15,0.993386,0.002486
64,0.001000,0.001000,0.925000,20,0.993062,0.002480
64,0.001000,0.001000,0.925000,25,0.992650,0.002474
64,0.001000,0.001000,0.925000,30,0.992230,0.002470
64,0.001000,0.001000,0.925000,35,0.991859,0.002467
64,0.001000,0.001000,0.925000,40,0.991562,0.002466
64,0.001000,0.001000,0.925000,45,0.991337,0.002465
64,0.001000,0.001000,0.925000,50,0.991174,0.002465
64,0.001000,0.001000,0.950000,5,0.993643,0.002492
64,0.001000,0.001000,0.950000,10,0.993524,0.002493
64,0.001000,0.001000,0.950000,15,0.993006,0.002497
64,0.001000,0.001000,0.950000,20,0.991543,0.002509
64,0.001000,0.001000,0.950000,25,0.988983,0.002538
64,0.001000,0.001000,0.950000,30,0.986195,0.002573
64,0.001000,0.001000,0.950000,35,0.984058,0.002607
64,0.001000,0.001000,0.950000,40,0.982655,0.002641
64,0.001000,0.001000,0.950000,45,0.981726,0.002672
64,0.001000,0.001000,0.950000,50,0.981071,0.002696
64,0.001000,0.001000,0.975000,5,0.993642,0.002493
64,0.001000,0.001000,0.975000,10,0.993433,0.002507
64,0.001000,0.001000,0.975000,15,0.991806,0.002637
64,0.001000,0.001000,0.975000,20,0.986004,0.002857
64,0.001000,0.001000,0.975000,25,0.980862,0.002677
64,0.001000,0.001000,0.975000,30,0.977124,0.002620
64,0.001000,0.001000,0.975000,35,0.973545,0.002517
64,0.001000,0.001000,0.975000,40,0.970821,0.002469
64,0.001000,0.001000,0.975000,45,0.968859,0.002479
64,0.001000,0.001000,0.975000,50,0.967398,0.002504
64,0.001000,0.001000,1.000000,5,0.993637,0.002492
64,0.001000,0.001000,1.000000,10,0.993253,0.002516
64,0.001000,0.001000,1.000000,15,0.988218,0.002787
64,0.001000,0.001000,1.000000,20,0.979270,0.002828
64,0.001000,0.001000,1.000000,25,0.971511,0.002744
