K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.001000,0.001000,0.750000,0.988764,0.002670,99.632093,2.279456
64,0.001000,0.001000,0.775000,0.987305,0.002570,108.473532,2.010378
64,0.001000,0.001000,0.800000,0.985679,0.002618,121.015523,1.811424
64,0.001000,0.001000,0.825000,0.983986,0.002513,136.776662,2.416241
64,0.001000,0.001000,0.850000,0.981877,0.002620,159.580699,2.866680
64,0.001000,0.001000,0.875000,0.978846,0.002635,162.985249,2.237005
64,0.001000,0.001000,0.900000,0.974820,0.002644,163.026466,2.203485
64,0.001000,0.001000,0.925000,0.969487,0.002526,162.350463,2.244300
64,0.001000,0.001000,0.950000,0.961636,0.002299,162.610443,2.746829
64,0.001000,0.001000,0.975000,0.952129,0.002148,162.793279,2.109763
64,0.001000,0.001000,1.000000,0.951723,0.001928,111.531894,1.709055
64,0.001000,0.002000,0.750000,0.988811,0.002588,96.814122,2.047865
64,0.001000,0.002000,0.775000,0.987374,0.002677,107.622723,2.038499
64,0.001000,0.002000,0.800000,0.985804,0.002587,120.370244,3.127042
64,0.001000,0.002000,0.825000,0.984051,0.002606,136.533757,2.803432
64,0.001000,0.002000,0.850000,0.982030,0.002576,159.551648,2.577144
64,0.001000,0.002000,0.875000,0.978943,0.002649,162.586575,3.106898
64,0.001000,0.002000,0.900000,0.974966,0.002752,162.683965,2.886166
64,0.001000,0.002000,0.925000,0.969702,0.002625,163.022595,1.892479
64,0.001000,0.002000,0.950000,0.961820,0.002340,163.133535,2.067812
64,0.001000,0.002000,0.975000,0.952115,0.002217,162.464901,2.942179
64,0.001000,0.002000,1.000000,0.951244,0.002136,114.639381,2.240947
64,0.001000,0.005000,0.750000,0.988855,0.002622,96.733620,2.068114
64,0.001000,0.005000,0.775000,0.987503,0.002630,107.986404,1.978999
64,0.001000,0.005000,0.800000,0.986007,0.002503,120.679653,2.312530
64,0.001000,0.005000,0.825000,0.984188,0.002574,136.076522,1.796030
64,0.001000,0.005000,0.850000,0.982021,0.002523,159.232330,3.018746
