K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.001000,0.750000,5,0.991639,0.002517
64,0.001000,0.001000,0.750000,10,0.989514,0.002533
64,0.001000,0.001000,0.750000,15,0.988940,0.002534
64,0.001000,0.001000,0.750000,20,0.988803,0.002533
64,0.001000,0.001000,0.750000,25,0.988771,0.002533
64,0.001000,0.001000,0.750000,30,0.988764,0.002533
64,0.001000,0.001000,0.775000,5,0.991231,0.002449
64,0.001000,0.001000,0.775000,10,0.988405,0.002436
64,0.001000,0.001000,0.775000,15,0.987602,0.002437
64,0.001000,0.001000,0.775000,20,0.987385,0.002437
64,0.001000,0.001000,0.775000,25,0.987324,0.002438
64,0.001000,0.001000,0.775000,30,0.987308,0.002438
64,0.001000,0.001000,0.775000,33,0.987305,0.002438
64,0.001000,0.001000,0.800000,5,0.990708,0.002535
64,0.001000,0.001000,0.800000,10,0.987203,0.002488
64,0.001000,0.001000,0.800000,15,0.986153,0.002483
64,0.001000,0.001000,0.800000,20,0.985829,0.002484
64,0.001000,0.001000,0.800000,25,0.985725,0.002484
64,0.001000,0.001000,0.800000,30,0.985691,0.002484
64,0.001000,0.001000,0.800000,35,0.985680,0.002484
64,0.001000,0.001000,0.800000,37,0.985679,0.002484
64,0.001000,0.001000,0.825000,5,0.990231,0.002380
64,0.001000,0.001000,0.825000,10,0.986072,0.002335
64,0.001000,0.001000,0.825000,15,0.984738,0.002365
64,0.001000,0.001000,0.825000,20,0.984265,0.002377
64,0.001000,0.001000,0.825000,25,0.984088,0.002381
64,0.001000,0.001000,0.825000,30,0.984022,0.002383
64,0.001000,0.001000,0.825000,35,0.983996,0.002384
64,0.001000,0.001000,0.825000,40,0.983987,0.002384
64,0.001000,0.001000,0.825000,41,0.987291,0.000405
64,0.001000,0.001000,0.825000,42,0.983160,0.001910
64,0.001000,0.001000,0.850000,5,0.989782,0.002469
64,0.001000,0.001000,0.850000,10,0.984944,0.002495
64,0.001000,0.001000,0.850000,15,0.983204,0.002490
64,0.001000,0.001000,0.850000,20,0.982459,0.002488
64,0.001000,0.001000,0.850000,25,0.982131,0.002487
64,0.001000,0.001000,0.850000,30,0.981986,0.002486
64,0.001000,0.001000,0.850000,35,0.981922,0.002486
64,0.001000,0.001000,0.850000,40,0.981893,0.002486
64,0.001000,0.001000,0.850000,45,0.981881,0.002486
64,0.001000,0.001000,0.850000,49,0.981877,0.002486
64,0.001000,0.001000,0.875000,5,0.989069,0.002500
64,0.001000,0.001000,0.875000,10,0.983617,0.002472
64,0.001000,0.001000,0.875000,15,0.981291,0.002464
64,0.001000,0.001000,0.875000,20,0.980082,0.002477
64,0.001000,0.001000,0.875000,25,0.979464,0.002487
64,0.001000,0.001000,0.875000,30,0.979150,0.002493
64,0.001000,0.001000,0.875000,35,0.978991,0.002496
64,0.001000,0.001000,0.875000,40,0.978909,0.002498
64,0.001000,0.001000,0.875000,45,0.978868,0.002499
64,0.001000,0.001000,0.875000,50,0.978846,0.002499
64,0.001000,0.001000,0.900000,5,0.988485,0.002485
64,0.001000,0.001000,0.900000,10,0.982231,0.002507
64,0.001000,0.001000,0.900000,15,0.978975,0.002506
64,0.001000,0.001000,0.900000,20,0.977137,0.002508
64,0.001000,0.001000,0.900000,25,0.976113,0.002509
64,0.001000,0.001000,0.900000,30,0.975530,0.002509
64,0.001000,0.001000,0.900000,35,0.975194,0.002509
64,0.001000,0.001000,0.900000,40,0.975000,0.002508
64,0.001000,0.001000,0.900000,45,0.974886,0.002508
64,0.001000,0.001000,0.900000,50,0.974820,0.002508
64,0.001000,0.001000,0.925000,5,0.987854,0.002522
64,0.001000,0.001000,0.925000,10,0.980664,0.002511
64,0.001000,0.001000,0.925000,15,0.976413,0.002493
64,0.001000,0.001000,0.925000,20,0.973855,0.002460
64,0.001000,0.001000,0.925000,25,0.972242,0.002440
64,0.001000,0.001000,0.925000,30,0.971187,0.002425
64,0.001000,0.001000,0.925000,35,0.970484,0.002413
64,0.001000,0.001000,0.925000,40,0.970014,0.002405
64,0.001000,0.001000,0.925000,45,0.969698,0.002400
64,0.001000,0.001000,0.925000,50,0.969487,0.002397
64,0.001000,0.001000,0.950000,5,0.987255,0.002463
64,0.001000,0.001000,0.950000,10,0.978835,0.002518
64,0.001000,0.001000,0.950000,15,0.973530,0.002482
64,0.001000,0.001000,0.950000,20,0.970042,0.002402
64,0.001000,0.001000,0.950000,25,0.967470,0.002330
64,0.001000,0.001000,0.950000,30,0.965557,0.002276
64,0.001000,0.001000,0.950000,35,0.964131,0.002238
64,0.001000,0.001000,0.950000,40,0.963061,0.002212
64,0.001000,0.001000,0.950000,45,0.962251,0.002193
64,0.001000,0.001000,0.950000,50,0.961636,0.002181
64,0.001000,0.001000,0.975000,5,0.986629,0.002440
64,0.001000,0.001000,0.975000,10,0.977070,0.002418
64,0.001000,0.001000,0.975000,15,0.970449,0.002355
64,0.001000,0.001000,0.975000,20,0.965394,0.002213
64,0.001000,0.001000,0.975000,25,0.961404,0.002116
64,0.001000,0.001000,0.975000,30,0.958252,0.002072
64,0.001000,0.001000,0.975000,35,0.955863,0.002055
64,0.001000,0.001000,0.975000,40,0.954138,0.002047
64,0.001000,0.001000,0.975000,45,0.952936,0.002042
64,0.001000,0.001000,0.975000,50,0.952129,0.002038
64,0.001000,0.001000,1.000000,5,0.985961,0.002532
64,0.001000,0.001000,1.000000,10,0.975077,0.002570
64,0.001000,0.001000,1.000000,15,0.967012,0.002379
64,0.001000,0.001000,1.000000,20,0.960202,0.002179
64,0.001000,0.001000,1.000000,25,0.955001,0.002030
64,0.001000,0.001000,1.000000,30,0.952188,0.001898
64,0.001000,0.001000,1.000000,34,0.951464,0.001746
64,0.001000,0.001000,1.000000,35,0.954054,0.000000
64,0.001000,0.002000,0.750000,5,0.991636,0.002467
64,0.001000,0.002000,0.750000,10,0.989545,0.002455
64,0.001000,0.002000,0.750000,15,0.988982,0.002454
64,0.001000,0.002000,0.750000,20,0.988849,0.002455
64,0.001000,0.002000,0.750000,25,0.988818,0.002455
64,0.001000,0.002000,0.750000,29,0.989296,0.003313
64,0.001000,0.002000,0.750000,30,0.988488,0.001570
64,0.001000,0.002000,0.775000,5,0.991290,0.002546
64,0.001000,0.002000,0.775000,10,0.988484,0.002549
64,0.001000,0.002000,0.775000,15,0.987674,0.002542
64,0.001000,0.002000,0.775000,20,0.987454,0.002540
64,0.001000,0.002000,0.775000,25,0.987393,0.002539
64,0.001000,0.002000,0.775000,30,0.987377,0.002539
64,0.001000,0.002000,0.775000,33,0.987374,0.002539
64,0.001000,0.002000,0.800000,5,0.990829,0.002439
64,0.001000,0.002000,0.800000,10,0.987337,0.002442
64,0.001000,0.002000,0.800000,15,0.986280,0.002451
64,0.001000,0.002000,0.800000,20,0.985954,0.002453
64,0.001000,0.002000,0.800000,25,0.985850,0.002454
64,0.001000,0.002000,0.800000,30,0.985816,0.002454
64,0.001000,0.002000,0.800000,35,0.985805,0.002454
64,0.001000,0.002000,0.800000,36,0.989376,0.000000
64,0.001000,0.002000,0.800000,37,0.985407,0.002262
64,0.001000,0.002000,0.825000,5,0.990246,0.002498
64,0.001000,0.002000,0.825000,10,0.986154,0.002462
64,0.001000,0.002000,0.825000,15,0.984811,0.002467
64,0.001000,0.002000,0.825000,20,0.984333,0.002470
64,0.001000,0.002000,0.825000,25,0.984155,0.002471
64,0.001000,0.002000,0.825000,30,0.984088,0.002471
64,0.001000,0.002000,0.825000,35,0.984062,0.002472
64,0.001000,0.002000,0.825000,40,0.984052,0.002472
64,0.001000,0.002000,0.825000,41,0.987816,0.000000
64,0.001000,0.002000,0.825000,42,0.983633,0.002245
64,0.001000,0.002000,0.850000,5,0.989796,0.002392
64,0.001000,0.002000,0.850000,10,0.985026,0.002424
64,0.001000,0.002000,0.850000,15,0.983325,0.002437
64,0.001000,0.002000,0.850000,20,0.982599,0.002441
64,0.001000,0.002000,0.850000,25,0.982278,0.002442
64,0.001000,0.002000,0.850000,30,0.982137,0.002443
64,0.001000,0.002000,0.850000,35,0.982074,0.002444
64,0.001000,0.002000,0.850000,40,0.982046,0.002444
64,0.001000,0.002000,0.850000,45,0.982034,0.002444
