K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.001000,0.750000,5,0.992229,0.002485
64,0.001000,0.001000,0.750000,10,0.990600,0.002479
64,0.001000,0.001000,0.750000,15,0.990137,0.002474
64,0.001000,0.001000,0.750000,20,0.990026,0.002473
64,0.001000,0.001000,0.750000,25,0.990000,0.002472
64,0.001000,0.001000,0.750000,29,0.989995,0.002472
64,0.001000,0.001000,0.775000,5,0.991980,0.002491
64,0.001000,0.001000,0.775000,10,0.989774,0.002448
64,0.001000,0.001000,0.775000,15,0.989094,0.002433
64,0.001000,0.001000,0.775000,20,0.988906,0.002430
64,0.001000,0.001000,0.775000,25,0.988853,0.002429
64,0.001000,0.001000,0.775000,30,0.988838,0.002428
64,0.001000,0.001000,0.775000,32,0.989087,0.002892
64,0.001000,0.001000,0.775000,33,0.988586,0.001818
64,0.001000,0.001000,0.800000,5,0.991634,0.002547
64,0.001000,0.001000,0.800000,10,0.988797,0.002531
64,0.001000,0.001000,0.800000,15,0.987854,0.002528
64,0.001000,0.001000,0.800000,20,0.987548,0.002528
64,0.001000,0.001000,0.800000,25,0.987448,0.002528
64,0.001000,0.001000,0.800000,30,0.987416,0.002528
64,0.001000,0.001000,0.800000,35,0.987405,0.002528
64,0.001000,0.001000,0.800000,36,0.984750,0.000067
64,0.001000,0.001000,0.800000,37,0.988067,0.002405
64,0.001000,0.001000,0.825000,5,0.991381,0.002554
64,0.001000,0.001000,0.825000,10,0.987712,0.002458
64,0.001000,0.001000,0.825000,15,0.986349,0.002435
64,0.001000,0.001000,0.825000,20,0.985853,0.002433
64,0.001000,0.001000,0.825000,25,0.985669,0.002432
64,0.001000,0.001000,0.825000,30,0.985599,0.002432
64,0.001000,0.001000,0.825000,35,0.985573,0.002433
64,0.001000,0.001000,0.825000,40,0.985563,0.002432
64,0.001000,0.001000,0.825000,42,0.985562,0.002432
64,0.001000,0.001000,0.850000,5,0.990823,0.002398
64,0.001000,0.001000,0.850000,10,0.986455,0.002505
64,0.001000,0.001000,0.850000,15,0.984745,0.002518
64,0.001000,0.001000,0.850000,20,0.984059,0.002521
64,0.001000,0.001000,0.850000,25,0.983766,0.002523
64,0.001000,0.001000,0.850000,30,0.983638,0.002524
64,0.001000,0.001000,0.850000,35,0.983582,0.002524
64,0.001000,0.001000,0.850000,40,0.983557,0.002524
64,0.001000,0.001000,0.850000,45,0.983546,0.002524
64,0.001000,0.001000,0.850000,48,0.983612,0.002652
64,0.001000,0.001000,0.850000,49,0.982933,0.000000
64,0.001000,0.001000,0.875000,5,0.990416,0.002461
64,0.001000,0.001000,0.875000,10,0.985266,0.002494
64,0.001000,0.001000,0.875000,15,0.983114,0.002522
64,0.001000,0.001000,0.875000,20,0.982076,0.002529
64,0.001000,0.001000,0.875000,25,0.981550,0.002531
64,0.001000,0.001000,0.875000,30,0.981284,0.002531
