Sender: LSF System <lsfadmin@e1014>
Subject: Job 7894025: <matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation> in cluster <euler> Done

Job <matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation> was submitted from host <euler04> by user <dojan> in cluster <euler>.
Job was executed on host(s) <e1014>, in queue <normal.4h>, as user <dojan> in cluster <euler>.
</cluster/home/dojan> was used as the home directory.
</cluster/home/dojan/cil/cil_2015_nstd_git/project/src> was used as the working directory.
Started at Wed Jun 10 11:41:36 2015
Results reported on Wed Jun 10 13:32:49 2015

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :               8484.95 sec.
    Max Memory :             695 MB
    Average Memory :         590.01 MB
    Total Requested Memory : 1024.00 MB
    Delta Memory :           329.00 MB
    (Delta: the difference between Total Requested Memory and Max Memory.)
    Max Swap :               2 MB
    Max Processes :          3
    Max Threads :            9

The output (if any) follows:


                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013b (8.2.0.701) 64-bit (glnxa64)
                              August 13, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
CompBias: l1 = 00, l2 = 00, RMSE: 0.997125
CompBias: l1 = 00, l2 = 01, RMSE: 0.996818
CompBias: l1 = 00, l2 = 02, RMSE: 0.996570
CompBias: l1 = 00, l2 = 03, RMSE: 0.996366
CompBias: l1 = 00, l2 = 04, RMSE: 0.996199
CompBias: l1 = 00, l2 = 05, RMSE: 0.996063
CompBias: l1 = 00, l2 = 06, RMSE: 0.995953
CompBias: l1 = 00, l2 = 07, RMSE: 0.995866
CompBias: l1 = 00, l2 = 08, RMSE: 0.995798
CompBias: l1 = 00, l2 = 09, RMSE: 0.995747
CompBias: l1 = 00, l2 = 10, RMSE: 0.995712
CompBias: l1 = 00, l2 = 11, RMSE: 0.995691
CompBias: l1 = 00, l2 = 12, RMSE: 0.995681
CompBias: l1 = 00, l2 = 13, RMSE: 0.995683
CompBias: l1 = 00, l2 = 14, RMSE: 0.995694
CompBias: l1 = 00, l2 = 15, RMSE: 0.995714
CompBias: l1 = 00, l2 = 16, RMSE: 0.995742
CompBias: l1 = 00, l2 = 17, RMSE: 0.995776
CompBias: l1 = 00, l2 = 18, RMSE: 0.995818
CompBias: l1 = 00, l2 = 19, RMSE: 0.995865
CompBias: l1 = 00, l2 = 20, RMSE: 0.995918
CompBias: l1 = 00, l2 = 21, RMSE: 0.995975
CompBias: l1 = 00, l2 = 22, RMSE: 0.996037
CompBias: l1 = 00, l2 = 23, RMSE: 0.996103
CompBias: l1 = 00, l2 = 24, RMSE: 0.996172
CompBias: l1 = 00, l2 = 25, RMSE: 0.996245
CompBias: l1 = 00, l2 = 26, RMSE: 0.996320
CompBias: l1 = 00, l2 = 27, RMSE: 0.996399
CompBias: l1 = 00, l2 = 28, RMSE: 0.996480
CompBias: l1 = 00, l2 = 29, RMSE: 0.996563
CompBias: l1 = 00, l2 = 30, RMSE: 0.996649
CompBias: l1 = 00, l2 = 31, RMSE: 0.996736
CompBias: l1 = 00, l2 = 32, RMSE: 0.996825
CompBias: l1 = 00, l2 = 33, RMSE: 0.996916
CompBias: l1 = 00, l2 = 34, RMSE: 0.997008
CompBias: l1 = 00, l2 = 35, RMSE: 0.997101
CompBias: l1 = 00, l2 = 36, RMSE: 0.997196
CompBias: l1 = 00, l2 = 37, RMSE: 0.997291
CompBias: l1 = 00, l2 = 38, RMSE: 0.997387
CompBias: l1 = 00, l2 = 39, RMSE: 0.997484
CompBias: l1 = 00, l2 = 40, RMSE: 0.997582
CompBias: l1 = 00, l2 = 41, RMSE: 0.997681
CompBias: l1 = 00, l2 = 42, RMSE: 0.997780
CompBias: l1 = 00, l2 = 43, RMSE: 0.997880
CompBias: l1 = 00, l2 = 44, RMSE: 0.997980
CompBias: l1 = 00, l2 = 45, RMSE: 0.998080
CompBias: l1 = 00, l2 = 46, RMSE: 0.998181
CompBias: l1 = 00, l2 = 47, RMSE: 0.998281
CompBias: l1 = 00, l2 = 48, RMSE: 0.998382
CompBias: l1 = 00, l2 = 49, RMSE: 0.998484
CompBias: l1 = 00, l2 = 50, RMSE: 0.998585
CompBias: l1 = 00, l2 = 51, RMSE: 0.998686
CompBias: l1 = 00, l2 = 52, RMSE: 0.998788
CompBias: l1 = 00, l2 = 53, RMSE: 0.998889
CompBias: l1 = 00, l2 = 54, RMSE: 0.998990
CompBias: l1 = 00, l2 = 55, RMSE: 0.999092
CompBias: l1 = 00, l2 = 56, RMSE: 0.999193
CompBias: l1 = 00, l2 = 57, RMSE: 0.999294
CompBias: l1 = 00, l2 = 58, RMSE: 0.999395
CompBias: l1 = 00, l2 = 59, RMSE: 0.999495
